Id,Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated
mmfinance,MM Finance,Immunefi,50000,0,0,"Solidity","DEX,AMM","Defi,NFT","Cronos","Smart Contract,Websites and Applications",2023-03-08 17:39:32.824000+00:00
requestnetwork,Request Network,Immunefi,20000,0,0,"Solidity,Rust","","Defi","ETH,Avalanche,Fantom,Fuse,BSC","Smart Contract,Websites and Applications",2023-07-31 18:35:17.618000+00:00
localtraders,Local Traders,Immunefi,20000,0,0,"Solidity","","Defi","BSC","Smart Contract",2023-06-22 17:35:33.524000+00:00
nodle,Nodle,Immunefi,20000,0,240,"Rust","Staking,L1,Wallet","Defi,Infrastructure,NFT","Polkadot","Websites and Applications,Blockchain/DLT",2023-06-01 02:20:09.820000+00:00
metalswap,MetalSwap,Immunefi,20000,0,0,"Solidity","DEX","Defi","ETH","Smart Contract",2023-02-16 16:59:22.248000+00:00
mysofinance,MYSO Finance,Immunefi,20000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-02-16 16:59:55.069000+00:00
unlockd,Unlockd,Immunefi,20000,0,0,"Solidity","Crosschain Liquidity,Lending","NFT","ETH","Smart Contract,Websites and Applications",2023-07-03 19:37:28.470000+00:00
predyfinance,Predy Finance,Immunefi,20000,0,0,"Solidity","Perpetuals,Lending,AMM","Defi","Arbitrum","Smart Contract",2023-07-18 15:00:01.501000+00:00
bifrostfinance,Bifrost Finance,Immunefi,20000,0,0,"Rust","Staking,Crosschain Liquidity,Lending,Wallet","Defi","Polkadot","Websites and Applications,Blockchain/DLT",2022-10-13 13:58:19.528000+00:00
wardenswap,WardenSwap,Immunefi,20000,0,0,"Solidity","DEX,L2","Blockchain,NFT","ETH,Polygon,BSC","Smart Contract",2023-03-20 13:43:10.841000+00:00
charm,Charm,Immunefi,20000,0,0,"Solidity","AMM,Options","Defi","ETH","Smart Contract",2023-08-09 00:03:22.182000+00:00
enosys,Enosys,Immunefi,15000,0,0,"Solidity","Crosschain Liquidity","Defi,Infrastructure","","Smart Contract",2023-06-28 19:25:14.276000+00:00
tapio,Tapio,Immunefi,10000,0,0,"Solidity","Synthetic Assets","Defi","ETH","Smart Contract",2023-07-25 05:00:50.879000+00:00
opnx,OPNX,Immunefi,10000,0,0,"Solidity,Rust","Stablecoin,Perpetuals,AMM,Options,Derivatives","Blockchain,Exchange","","Websites and Applications",2023-06-02 10:35:44.409000+00:00
jusd,JUSD,Immunefi,10000,0,0,"Solidity","Perpetuals","Defi","Arbitrum","Smart Contract",2023-07-19 13:55:31.549000+00:00
spot,SPOT,Immunefi,10000,0,0,"Solidity","Derivatives","Defi","ETH","Smart Contract,Websites and Applications",2023-02-16 17:05:59.313000+00:00
moola,Moola,Immunefi,10000,0,0,"Solidity","Lending","Defi","Celo","Smart Contract,Websites and Applications",2023-02-03 20:49:45.801000+00:00
gysr,GYSR,Immunefi,10000,0,0,"Solidity","Staking","Defi,NFT","ETH","Smart Contract",2023-06-20 22:46:18.412000+00:00
apeswap,ApeSwap,Immunefi,10000,24773,3316,"Solidity","DEX,AMM","Defi","BSC","Smart Contract,Websites and Applications",2023-06-20 18:20:40.776000+00:00
stafi,StaFi: rDEX,Immunefi,25000,0,0,"Rust","DEX,AMM","Defi","ETH","Smart Contract",2023-07-10 00:56:29.584000+00:00
kogefarm,KogeFarm,Immunefi,25000,0,0,"Solidity","Yield Aggregator","Defi","Fantom,Polygon,BSC","Smart Contract",2022-10-24 16:24:22.026000+00:00
tidal,Tidal,Immunefi,25000,0,0,"Solidity","Lending,Insurance","Blockchain,Defi","ETH,Polkadot","Smart Contract,Websites and Applications",2023-03-22 17:17:21.651000+00:00
dforceamm,dForce AMM,Immunefi,5000,0,0,"Solidity","DEX","Defi","ETH","Smart Contract",2023-05-17 18:11:21.869000+00:00
versagames,VersaGames,Immunefi,5000,0,0,"Solidity","Staking","Defi,NFT","Polygon,Cronos","Smart Contract,Websites and Applications",2023-03-14 18:08:47.813000+00:00
tenderfi,Tender.fi,Immunefi,4000,0,0,"Solidity","Lending","Defi","Arbitrum","Smart Contract,Websites and Applications",2023-02-16 17:07:07.019000+00:00
stack,Stack,Immunefi,2000,0,0,"Solidity","DEX,Lending","Defi","Polygon","Smart Contract,Websites and Applications",2023-06-08 15:16:16.081000+00:00
pillar,Pillar,Immunefi,1250,100,11205,"Solidity","Wallet","Defi,NFT","ETH,Avalanche,Polygon,BSC,xDAI","Smart Contract",2023-04-18 15:25:37.454000+00:00
rocifi,RociFi,Immunefi,1000,15500,11657,"Solidity","Lending","Defi","Polygon","Smart Contract",2023-02-16 17:05:26.712000+00:00
moneyonchain,Money on Chain,Immunefi,10000,0,0,"Solidity","Stablecoin,Lending","Defi","RSK","Smart Contract,Websites and Applications",2022-11-01 20:13:00.752000+00:00
stakeeasy,StakeEasy,Immunefi,8000,1000,0,"Rust","Staking","Blockchain,Defi","","Smart Contract",2023-04-06 17:27:29.328000+00:00
superbots,SuperBots,Immunefi,8000,1100,9065,"Solidity","DEX,Staking","Defi,NFT","BSC","Smart Contract,Websites and Applications",2023-04-18 15:03:54.713000+00:00
zerion,Zerion,Immunefi,25000,0,0,"Solidity","Crosschain Liquidity,Wallet","Defi,NFT","ETH,Polygon","Smart Contract,Websites and Applications",2022-12-29 16:08:53.017000+00:00
betafinance,Beta Finance,Immunefi,200000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-01-31 14:39:13.616000+00:00
revest,Revest,Immunefi,100000,0,0,"Solidity","Staking","Defi,NFT","ETH","Smart Contract,Websites and Applications",2022-10-26 14:39:43.112000+00:00
elementfinance,Element Finance,Immunefi,100000,0,0,"Solidity","Synthetic Assets","Defi","ETH","Smart Contract",2023-03-08 18:01:26.801000+00:00
layerzero,LayerZero (The World's Largest Bounty),Immunefi,15000000,0,0,"Solidity","","Blockchain","","Smart Contract",2023-05-17 16:15:29.054000+00:00
polygon,Polygon,Immunefi,1100000,5740026,0,"Solidity","L2","Blockchain","ETH,Polygon","Smart Contract,Websites and Applications",2023-05-05 04:22:57.892000+00:00
origindefi,Origin DeFi (OUSD and OETH),Immunefi,1000000,12700,422,"Solidity","Stablecoin","Defi","ETH","Smart Contract,Websites and Applications",2023-07-12 00:27:17.178000+00:00
raydium,Raydium,Immunefi,505000,0,0,"Rust","AMM","Defi","Solana","Smart Contract",2023-04-25 12:04:46.557000+00:00
badger,Badger DAO,Immunefi,500000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2022-10-18 13:35:45.956000+00:00
shellprotocol,Shell Protocol,Immunefi,100000,0,0,"Solidity","DEX,L2,AMM","Defi,NFT","ETH,Arbitrum","Smart Contract,Websites and Applications",2023-07-10 19:55:51.735000+00:00
tropykus,Tropykus,Immunefi,50000,0,0,"Solidity","Lending","Defi","RSK","Smart Contract",2023-03-28 02:30:23.850000+00:00
yieldprotocol,Yield Protocol,Immunefi,250000,147600,2370,"Solidity,Rust","Lending","Defi","ETH","Smart Contract",2023-08-04 16:39:56.435000+00:00
