Id,Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated
morpho,Morpho,Immunefi,555555,0,0,"Solidity","Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-07-03 19:07:12.076000+00:00
fluxfinance,Flux Finance,Immunefi,550000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-03-21 17:03:19.992000+00:00
staderforeth,Stader for ETH,Immunefi,1000000,0,0,"Solidity","Staking","Defi","ETH","Smart Contract",2023-07-10 14:07:10.965000+00:00
starkex,StarkEx,Immunefi,1000000,0,0,"Solidity","DEX,Perpetuals","Defi","ETH","Smart Contract,Blockchain/DLT",2023-08-01 22:08:19.874000+00:00
myntandzero,Mynt and Zero,Immunefi,1000000,0,0,"Solidity","Stablecoin","Defi","RSK","Smart Contract,Websites and Applications",2023-06-16 13:35:16.592000+00:00
thresholdnetwork,Threshold Network,Immunefi,500000,53000,1229,"Solidity","Synthetic Assets,Bug bounty,Staking,Crosschain Liquidity,Currency","Blockchain,Defi","ETH,Polygon,Optimism,Arbitrum","Smart Contract,Websites and Applications",2023-06-22 22:38:49.261000+00:00
filecoin,Filecoin,Immunefi,500000,0,0,"Solidity,Rust","L1","Blockchain","","Blockchain/DLT",2023-04-14 18:02:33.229000+00:00
davos,Davos,Immunefi,500000,0,0,"Solidity","Lending","Defi","Polygon","Smart Contract",2023-06-22 22:22:42.883000+00:00
decentraland,Decentraland,Immunefi,500000,0,0,"Solidity","","Defi","ETH,Polygon","Smart Contract,Websites and Applications",2023-02-01 14:23:53.229000+00:00
interlay,Interlay,Immunefi,500000,208500,3413,"Rust","Crosschain Liquidity,Insurance","Defi","Polkadot","Smart Contract,Websites and Applications,Blockchain/DLT",2022-11-18 12:25:19.717000+00:00
helio,Helio,Immunefi,500000,0,0,"Solidity","Stablecoin,Lending,Yield Aggregator","Defi","BSC","Smart Contract",2022-10-24 07:30:50.140000+00:00
orca,Orca,Immunefi,500000,0,0,"Rust","Crosschain Liquidity,AMM","Defi","Solana","Smart Contract",2022-10-13 14:02:26.419000+00:00
wombatexchange,Wombat Exchange,Immunefi,500000,0,0,"Solidity","DEX,Crosschain Liquidity","Defi","BSC","Smart Contract,Websites and Applications",2022-10-16 07:54:00.639000+00:00
maple,Maple,Immunefi,500000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-06-24 15:03:51.620000+00:00
portfinance,Port Finance,Immunefi,500000,0,0,"Rust","Lending","Defi","ETH,Solana,Terra","Smart Contract",2022-12-29 07:10:51.239000+00:00
buttonwood,Buttonwood,Immunefi,500000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract",2023-03-08 17:41:10.737000+00:00
cartesi,Cartesi,Immunefi,500000,0,0,"Solidity","L2","Blockchain","ETH,Avalanche,Polygon,BSC","Smart Contract,Websites and Applications",2023-08-08 22:03:21.702000+00:00
sherlock,Sherlock,Immunefi,500000,0,0,"Solidity","Staking,Insurance","Defi","ETH","Smart Contract",2022-11-28 19:46:21.861000+00:00
goldfinch,Goldfinch,Immunefi,500000,94250,2171,"Solidity","Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-08-01 20:30:35.606000+00:00
rocketpool,Rocket Pool,Immunefi,500000,0,0,"Solidity","Staking","Defi,Infrastructure","ETH","Smart Contract",2023-08-04 16:35:11.394000+00:00
benqi,BENQI,Immunefi,500000,0,0,"Solidity","AMM","Defi","Avalanche","Smart Contract,Websites and Applications",2023-07-28 00:51:14.883000+00:00
composablefinance,Composable Finance,Immunefi,500000,0,0,"Solidity","","Infrastructure","ETH","Smart Contract",2023-03-08 17:45:00.388000+00:00
AlphaVentureDAO,Alpha Venture DAO,Immunefi,500000,0,0,"Solidity","Staking,Crosschain Liquidity,Yield Aggregator","Defi,Infrastructure","ETH,Avalanche,BSC","Smart Contract,Websites and Applications",2023-04-17 21:16:18.392000+00:00
ajna,Ajna,Immunefi,500000,0,0,"Solidity","Lending","Defi","ETH,Avalanche,Polygon,Optimism,Arbitrum","Smart Contract",2023-08-09 17:34:53.609000+00:00
hook,Hook,Immunefi,500000,0,0,"Solidity","Options","NFT","ETH","Smart Contract",2023-07-31 11:55:02.733000+00:00
kwenta,Kwenta,Immunefi,500000,0,0,"Solidity","Perpetuals,L2","Defi,Exchange","Terra,BSC,Polkadot,Cardano,Stacks","Smart Contract",2023-07-15 13:07:06.615000+00:00
timelessandbunni,Timeless and Bunni,Immunefi,250000,0,0,"Solidity","Derivatives","Defi","ETH,Optimism","Smart Contract",2023-07-05 18:38:39.484000+00:00
